Team,Games Played,Wins,Losses,OTL,Points,CFor,CAgainst,C%,FFor,FAgainst,F%
Anaheim Ducks,82,35,37,10,80,3829,4131,48.1,2807,3167,46.99
Arizona Coyotes,82,39,35,8,86,4070,4078,49.95,2945,3046,49.16
Boston Bruins,82,49,24,9,107,4079,3697,52.46,3160,2739,53.57
Buffalo Sabres,82,33,39,10,76,3981,4036,49.66,3105,3148,49.66
Calgary Flames,82,50,25,7,107,3964,3820,50.92,3092,2724,53.16
Carolina Hurricanes,82,46,29,7,99,4360,3936,52.56,3449,2824,54.98
Chicago Blackhawks,82,36,34,12,84,3978,4273,48.21,2986,3173,48.48
Colorado Avalanche,82,38,30,14,90,3969,3913,50.36,2899,2889,50.09
Columbus Blue Jackets,82,47,31,4,98,4033,3817,51.38,3057,2941,50.97
Dallas Stars,82,43,32,7,93,3997,4059,49.62,2892,3032,48.82
Detroit Red Wings,82,32,40,10,74,3800,4178,47.63,2845,3228,46.85
Edmonton Oilers,82,35,38,9,79,3833,4016,48.83,2805,3041,47.98
Florida Panthers,82,36,32,14,86,3999,3943,50.35,3015,3030,49.88
Los Angeles Kings,82,31,42,9,71,3870,4092,48.61,2856,3107,47.9
Minnesota Wild,82,37,36,9,83,4102,3857,51.54,3044,2856,51.59
Montreal Canadiens,82,44,30,8,96,4296,4168,50.76,3292,2895,53.21
Nashville Predators,82,47,29,6,100,4085,3873,51.33,3139,2865,52.28
New Jersey Devils,82,31,41,10,72,3772,3893,49.21,2803,3100,47.48
New York Islanders,82,48,27,7,103,3891,3967,49.52,2769,2987,48.11
New York Rangers,82,32,36,14,78,3831,4093,48.35,2775,3210,46.37
Ottawa Senators,82,29,47,6,64,4068,4334,48.42,2838,3399,45.5
Philadelphia Flyers,82,37,37,8,82,4053,4047,50.04,2932,3037,49.12
Pittsburgh Penguins,82,44,26,12,100,4211,4156,50.33,3143,3148,49.96
San Jose Sharks,82,46,27,9,101,4098,3827,51.71,3157,2669,54.19
St. Louis Blues,82,45,28,9,99,3980,3725,51.65,2991,2736,52.23
Tampa Bay Lightning,82,62,16,4,128,3971,3910,50.39,3054,2933,51.01
Toronto Maple Leafs,82,46,28,8,100,4338,4613,48.46,3372,3361,50.08
Vancouver Canucks,82,35,36,11,81,3899,4024,49.21,2848,3057,48.23
Vegas Golden Knights,82,43,32,7,93,4208,3897,51.92,3254,2711,54.55
Washington Capitals,82,48,26,8,104,4014,4080,49.59,2981,3089,49.11
Winnipeg Jets,82,47,30,5,99,3958,4084,49.22,2939,3102,48.65